"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 26 18:55:54 GMT 2025","Sun Jan 26 18:55:56 GMT 2025","2706","","TierList","","Validate visualize TierList GET /tierlist/slug 200 OK","","Validate visualize TierList GET /tierlist/slug 200 OK","""""""
    As a developer
    I want to test the TierList endpoints
    So that I can ensure they behave as expected
  """""""
"passed","Sun Jan 26 18:55:58 GMT 2025","Sun Jan 26 18:55:59 GMT 2025","1750","","Squad","","Validate remove player from squad POST /fantasy-squad/upsert 200 OK","","Validate remove player from squad POST /fantasy-squad/upsert 200 OK","  """"""
    As a developer
    I want to test the Squad endpoints
    So that I can ensure they behave as expected
  """""""
"passed","Sun Jan 26 18:55:56 GMT 2025","Sun Jan 26 18:55:57 GMT 2025","1863","","Squad","","Validate shared squad GET /fantasy-squad/shared 200 OK","","Validate shared squad GET /fantasy-squad/shared 200 OK","  """"""
    As a developer
    I want to test the Squad endpoints
    So that I can ensure they behave as expected
  """""""
"passed","Sun Jan 26 18:55:56 GMT 2025","Sun Jan 26 18:55:58 GMT 2025","1434","","TierList","","Validate TierList creation/deletion POST /tierlist 200 OK","","Validate TierList creation/deletion POST /tierlist 200 OK","""""""
    As a developer
    I want to test the TierList endpoints
    So that I can ensure they behave as expected
  """""""
"passed","Sun Jan 26 18:55:54 GMT 2025","Sun Jan 26 18:55:57 GMT 2025","3190","","Squad","","Validate squad creation/deletion POST /fantasy-squad 200 OK","","Validate squad creation/deletion POST /fantasy-squad 200 OK","""""""
    As a developer
    I want to test the flash new endpoint
    So that I can ensure they behave as expected
  """""""
"passed","Sun Jan 26 18:55:54 GMT 2025","Sun Jan 26 18:55:55 GMT 2025","1462","","Login","","Validate invalid login GET 401 unauthorized","","Validate invalid login GET 401 unauthorized",""
"passed","Sun Jan 26 18:55:54 GMT 2025","Sun Jan 26 18:55:57 GMT 2025","3194","","Account","","Update user data information","","Update user data information",""
"passed","Sun Jan 26 18:55:55 GMT 2025","Sun Jan 26 18:55:56 GMT 2025","508","","Login","","Validate user valid login GET 200 OK","","Validate user valid login GET 200 OK",""
"passed","Sun Jan 26 18:55:57 GMT 2025","Sun Jan 26 18:56:01 GMT 2025","3370","","Squad","","Validate share squad POST /fantasy-squad/share 200 OK","","Validate share squad POST /fantasy-squad/share 200 OK","  """"""
    As a developer
    I want to test the Squad endpoints
    So that I can ensure they behave as expected
  """""""
"passed","Sun Jan 26 18:55:57 GMT 2025","Sun Jan 26 18:55:58 GMT 2025","1546","","Squad","","Validate squad creation/deletion POST /fantasy-squad 200 OK","","Validate squad creation/deletion POST /fantasy-squad 200 OK","  """"""
    As a developer
    I want to test the Squad endpoints
    So that I can ensure they behave as expected
  """""""
"passed","Sun Jan 26 18:55:57 GMT 2025","Sun Jan 26 18:55:58 GMT 2025","1366","","Squad","","Validate add player to squad POST /fantasy-squad/upsert 200 OK","","Validate add player to squad POST /fantasy-squad/upsert 200 OK","  """"""
    As a developer
    I want to test the Squad endpoints
    So that I can ensure they behave as expected
  """""""
